Localite,Country,Cases,Confirmed cases,Deaths,New cases,Probable cases,Suspected cases,Code,longitude,latitude
Bo,Sierra Leone,328,242,63,15,3,32,9,11.2523792,44.3693312
Boffa,Guinea,101,20,46,0,5,0,13,-14.0391615,10.1808254
Bombali,Sierra Leone,360,305,24,39,3,11,15,-12.1632718,9.2475837
Bonthe,Sierra Leone,5,4,4,0,0,1,31,-12.505,7.526389
Conakry,Guinea,538,88,188,0,8,0,2,-13.712222,9.509167
Dabola,Guinea,37,1,27,0,3,0,3,-11.116667,10.75
Dinguiraye ,Guinea,9,0,7,0,1,0,4,-10.716667,11.3
Dubreka,Guinea,1,1,0,0,0,0,26,-13.516667,9.783333
Freetown,Sierra Leone,5,0,0,0,0,0,16,-13.234444,8.484444
Gueckedou,Guinea,2110,206,1332,0,101,0,1,-10.133333,8.566667
Guinea,Guinea,9444,6344,6331,72,173,54,7,-9.696645,9.945587
Kailahun,Sierra Leone,2702,1819,1256,30,131,54,8,-10.573889,8.277222
Kambia,Sierra Leone,13,9,1,1,0,0,22,-12.9176518,9.1261664
Kati,Mali,0,0,0,0,0,0,43,-8.071389,12.746667
Kayes,Mali,14,14,13,1,0,0,39,-11.4452717,14.4367876
Kenema,Sierra Leone,1689,1387,853,22,0,81,10,-11.1957172,7.8632147
Kissidougou,Guinea,64,2,36,0,4,0,5,-10.1,9.183333
Koinadugu,Sierra Leone,4,0,0,0,0,0,11,-11.36363,9.5168769
Kono,Sierra Leone,204,45,10,7,3,117,23,-117.013611,44.0205569
Koulikoro,Mali,0,0,0,0,0,0,44,-7.558333,12.861111
Kouremale,Mali,0,0,0,0,0,0,45,-8.7825418,11.9527363
Kouroussa,Guinea,8,2,4,0,2,0,17,-9.883333,10.65
Koutiala,Mali,0,0,0,0,0,0,41,-5.466667,12.383333
Liberia,Liberia,4136,1376,2299,205,0,0,36,-9.429499,6.428055
Lofa County,Liberia,85,0,43,0,0,0,18,-9.7232673,8.1911184
Macenta,Guinea,401,72,177,0,11,0,6,-9.466667,8.55
Mali,Mali,90,70,70,5,14,0,37,-3.996166,17.570692
Margibi County,Liberia,6,0,6,0,0,0,19,-10.3048897,6.5151875
Montserrado County,Liberia,28,0,28,0,0,0,20,-10.5296115,6.5525815
Moyamba,Sierra Leone,69,55,22,4,0,7,12,-12.433333,8.160556
Nigeria,Nigeria,39,0,7,8,0,0,38,8.675277,9.081999
Nimba County,Liberia,6,0,0,0,0,0,21,-8.6600586,6.8427612
Nzerekore,Guinea,13,10,0,0,0,0,27,-8.816667,7.75
Pita,Guinea,7,5,0,0,1,0,28,-12.395582,11.059568
Port Loko,Sierra Leone,526,432,60,13,4,13,24,-12.7875,8.766667
Pujehun,Sierra Leone,40,31,4,0,0,3,32,-11.718056,7.350556
Selingue,Mali,0,3,0,0,0,0,42,-8.2760021,11.4417287
Sierra Leone,Sierra Leone,11880.551,6571.485,5247,320,148,363,40,-11.779889,8.460555
Siguiri,Guinea,6,6,0,0,0,0,29,-9.166667,11.416667
Telimele,Guinea,177,23,45,0,3,0,14,-13.033333,10.9
Tonkolili,Sierra Leone,119,98,8,8,0,6,33,-11.7947561,8.9804274
Western Area,Sierra Leone,3,0,2,0,0,0,25,-13.035694,8.3114983
Western Area Rural,Sierra Leone,201,159,8,3,0,14,34,-13.035694,8.3114983
Western Area Urban,Sierra Leone,421,339,21,15,4,24,35,-13.2432632,8.4545561
Yomou,Guinea,7,7,0,0,0,0,30,-9.2533,7.566
